threads_per_block;time_in_seconds;
32;2.134650e-02;
64;2.312566e-02;
96;2.321980e-02;
128;2.303184e-02;
160;2.277387e-02;
192;2.430643e-02;
224;2.176908e-02;
256;2.351547e-02;
288;2.348196e-02;
320;2.306241e-02;
352;2.275650e-02;
384;2.246353e-02;
416;2.353112e-02;
448;2.259968e-02;
480;2.392855e-02;
512;2.236388e-02;
544;2.181376e-02;
576;2.347218e-02;
608;2.351337e-02;
640;2.232378e-02;
672;2.251416e-02;
704;2.222826e-02;
736;2.375456e-02;
768;2.286843e-02;
800;2.417108e-02;
832;2.177618e-02;
864;2.323809e-02;
896;2.323801e-02;
928;2.353428e-02;
960;2.276711e-02;
992;2.254265e-02;
1024;2.356378e-02;
